date,u,v,uv
2016/10/01 00:00,22.24,-25.7,33.9868739368598
2016/10/01 01:00,19.74,-23.19,30.453960333592082
2016/10/01 02:00,14.28,-16.84,22.07949274779654
2016/10/01 03:00,5.02,-7.84,9.309457556700067
2016/10/01 04:00,-10.14,4.98,11.296902230257638
2016/10/01 05:00,-22.54,19.49,29.79784723767809
2016/10/01 06:00,-27.2,23.98,36.261279624414804
2016/10/01 07:00,-24.28,21.74,32.59058146152044
2016/10/01 08:00,-17.64,16.24,23.977222524721245
2016/10/01 09:00,-4.08,5.64,6.961034405891124
2016/10/01 10:00,15.4,-11.47,19.20210665526051
2016/10/01 11:00,19.71,-23.07,30.343187044211426
2016/10/01 12:00,22.16,-25.55,33.821119141743374
2016/10/01 13:00,20.71,-23.6,31.39847289280165
2016/10/01 14:00,16.14,-18.61,24.63395420958641
2016/10/01 15:00,7.98,-10.66,13.31600540702804
2016/10/01 16:00,-6.39,1.55,6.575302274420546
2016/10/01 17:00,-21.05,17.39,27.304113243245972
2016/10/01 18:00,-27.92,24.33,37.03343489335009
2016/10/01 19:00,-26.03,23.32,34.948294665119214
2016/10/01 20:00,-20.02,18.42,27.204720178674876
2016/10/01 21:00,-8.3,8.96,12.213582602987545
2016/10/01 22:00,12.49,-7.34,14.487087353916245
2016/10/01 23:00,19.99,-22.18,29.85887640216892
2016/10/02 00:00,22.27,-25.84,34.112439080194775
2016/10/02 01:00,21.46,-24.53,32.59221532820376
2016/10/02 02:00,17.48,-20.02,26.577260957442547
2016/10/02 03:00,10.45,-13.0,16.679403466551193
2016/10/02 04:00,-2.58,-1.74,3.1119125951735858
2016/10/02 05:00,-18.4,14.01,23.126610214209947
2016/10/02 06:00,-27.4,23.82,36.30636858734291
2016/10/02 07:00,-27.19,23.96,36.24055325184758
2016/10/02 08:00,-22.32,20.03,29.98971990532756
2016/10/02 09:00,-12.96,12.33,17.888278284955206
2016/10/02 10:00,5.44,-1.27,5.58627783054155
2016/10/02 11:00,18.82,-18.47,26.369173290036986
2016/10/02 12:00,20.58,-24.49,31.989005923910796
2016/10/02 13:00,21.77,-24.95,33.1124659305223
2016/10/02 14:00,19.04,-21.69,28.861353052135307
2016/10/02 15:00,12.94,-15.36,20.084152956995723
2016/10/02 16:00,1.95,-5.33,5.675508787765199
2016/10/02 17:00,-14.01,9.16,16.738748459786354
2016/10/02 18:00,-25.1,22.0,33.376788341600516
2016/10/02 19:00,-27.57,24.41,36.82326710111421
2016/10/02 20:00,-23.19,21.14,31.379542699026064
2016/10/02 21:00,-15.08,14.32,20.79588420817927
2016/10/02 22:00,1.63,1.38,2.1357200191036276
2016/10/02 23:00,19.15,-17.22,25.753657992603692
2016/10/03 00:00,20.92,-24.63,32.31537250288166
2016/10/03 01:00,22.07,-25.22,33.51318098897805
2016/10/03 02:00,18.94,-21.68,28.787948867538308
2016/10/03 03:00,13.0,-15.3,20.07710138441304
2016/10/03 04:00,2.44,-5.41,5.934787275041963
2016/10/03 05:00,-14.1,9.62,17.069106596421502
2016/10/03 06:00,-25.92,22.46,34.297201051980906
2016/10/03 07:00,-28.55,25.02,37.961861124028154
2016/10/03 08:00,-25.38,22.73,34.07047548831686
2016/10/03 09:00,-18.97,17.24,25.633542478557267
2016/10/03 10:00,-5.11,6.07,7.934544725439514
2016/10/03 11:00,15.47,-10.93,18.94164195628246
2016/10/03 12:00,19.58,-22.08,29.511062332623673
2016/10/03 13:00,21.3,-24.81,32.69902292118221
2016/10/03 14:00,19.81,-22.76,30.173725325189796
2016/10/03 15:00,14.53,-17.06,22.409027198876796
2016/10/03 16:00,4.79,-7.6,8.983546070455697
2016/10/03 17:00,-10.25,6.11,11.932920849481906
2016/10/03 18:00,-22.2,18.89,29.149135493184012
2016/10/03 19:00,-27.54,23.98,36.51700973519053
2016/10/03 20:00,-25.63,22.94,34.39680944506336
2016/10/03 21:00,-20.77,18.83,28.035010255036468
2016/10/03 22:00,-8.66,8.64,12.23295548916941
2016/10/03 23:00,12.05,-7.89,14.403284347675706
2016/10/04 00:00,19.94,-21.98,29.676994456986375
2016/10/04 01:00,21.89,-25.12,33.31946128015878
2016/10/04 02:00,20.7,-23.63,31.414437763550694
2016/10/04 03:00,16.44,-18.9,25.049622751650375
2016/10/04 04:00,9.32,-11.87,15.091696392387437
2016/10/04 05:00,-3.61,-0.69,3.67535032343857
2016/10/04 06:00,-18.53,14.58,23.57832267147093
2016/10/04 07:00,-26.62,23.22,35.32411074606125
2016/10/04 08:00,-26.18,23.16,34.95394112256871
2016/10/04 09:00,-21.18,19.08,28.50682023656795
2016/10/04 10:00,-11.54,11.18,16.06748269020384
2016/10/04 11:00,6.94,-2.64,7.425173398648681
2016/10/04 12:00,18.54,-18.7,26.332899574486664
2016/10/04 13:00,19.95,-23.74,31.009516281296616
2016/10/04 14:00,20.5,-23.73,31.35861763534866
2016/10/04 15:00,17.74,-20.46,27.07986706023499
2016/10/04 16:00,11.75,-14.39,18.57779857787246
2016/10/04 17:00,0.87,-4.55,4.6324291683737595
2016/10/04 18:00,-13.9,9.06,16.591973963335406
2016/10/04 19:00,-24.49,21.17,32.37173149524134
2016/10/04 20:00,-27.47,23.83,36.36577786876007
2016/10/04 21:00,-24.2,21.21,32.179249525121
2016/10/04 22:00,-15.7,13.99,21.02879216693151
2016/10/04 23:00,-0.81,2.2,2.3443762496664227
2016/10/05 00:00,16.59,-14.93,22.318893341740758
2016/10/05 01:00,19.09,-22.4,29.431073714698208
2016/10/05 02:00,19.33,-22.98,30.028807835143905
2016/10/05 03:00,15.59,-19.21,24.740092966680624
2016/10/05 04:00,8.93,-12.26,15.16748166308435
2016/10/05 05:00,-2.99,-1.74,3.459436370277679
2016/10/05 06:00,-19.51,14.06,24.04836169056013
2016/10/05 07:00,-27.92,23.19,36.29466214197344
2016/10/05 08:00,-29.28,24.77,38.35193997700769
2016/10/05 09:00,-25.62,22.04,33.795650607733535
2016/10/05 10:00,-19.7,17.09,26.079840873747678
2016/10/05 11:00,-8.2,7.74,11.275974458999098
2016/10/05 12:00,6.9,-3.41,7.696629132289019
2016/10/05 13:00,13.46,-13.69,19.19863797252295
2016/10/05 14:00,14.51,-17.72,22.90280550500309
2016/10/05 15:00,15.82,-19.31,24.962942534885585
2016/10/05 16:00,14.68,-17.35,22.727184163463807
2016/10/05 17:00,9.09,-10.48,13.872941288710193
2016/10/05 18:00,1.15,-1.52,1.9060167890131503
2016/10/05 19:00,-4.11,6.7,7.860159031470038
2016/10/05 20:00,-10.2,13.46,16.888208904439807
2016/10/05 21:00,-16.97,17.51,24.384031660084435
2016/10/05 22:00,-14.57,15.32,21.142074165038775
2016/10/05 23:00,-0.67,4.22,4.272856187610344
2016/10/06 00:00,16.27,-13.02,20.838265282887633
2016/10/06 01:00,20.41,-22.94,30.705238966664954
2016/10/06 02:00,22.65,-24.95,33.69755183985922
2016/10/06 03:00,20.22,-22.65,30.362326985921218
2016/10/06 04:00,16.0,-18.33,24.330822016528746
2016/10/06 05:00,9.6,-11.92,15.305110257688442
2016/10/06 06:00,-1.97,-2.21,2.9605742686174925
2016/10/06 07:00,-16.38,12.05,20.33486906768765
2016/10/06 08:00,-24.08,21.07,31.996738896331294
2016/10/06 09:00,-24.29,21.51,32.44509516090221
2016/10/06 10:00,-18.49,16.78,24.96895071884279
2016/10/06 11:00,-8.35,8.92,12.218383690161314
2016/10/06 12:00,8.34,-3.69,9.119851972482886
2016/10/06 13:00,17.35,-17.77,24.83536591234363
2016/10/06 14:00,18.58,-22.25,28.987564575176027
2016/10/06 15:00,19.14,-22.36,29.43313099213198
2016/10/06 16:00,16.48,-19.52,25.546443979544392
2016/10/06 17:00,11.34,-14.5,18.40775923354062
2016/10/06 18:00,2.2,-6.77,7.1184900084217295
2016/10/06 19:00,-10.69,3.47,11.239083592535469
2016/10/06 20:00,-19.06,15.52,24.579544340772472
2016/10/06 21:00,-22.38,19.73,29.83516884483813
2016/10/06 22:00,-19.73,17.18,26.161523273693373
2016/10/06 23:00,-12.01,10.66,16.058508648065672
2016/10/07 00:00,-0.12,0.9,0.9079647570252933
2016/10/07 01:00,12.0,-12.43,17.277294348363693
2016/10/07 02:00,15.69,-19.68,25.168998788191793
2016/10/07 03:00,16.56,-20.41,26.28310674178378
2016/10/07 04:00,13.96,-17.81,22.62913387648763
